"name","brand","model","resistance","capacitance","inductance"
"3-Star 2x1.5mm²","Adam Hall","K3LS215","13.0","120","0.70"
"3-Star 2x2.5mm²","Adam Hall","K3LS225","7.8","110","0.65"
"3-Star 4x2.5mm²","Adam Hall","K3LS425","7.8","110","0.65"
"4-Star 2x2.5mm²","Adam Hall","K4LS225","7.5","105","0.60"
"4-Star 2x4.0mm²","Adam Hall","K4LS240","4.5","100","0.55"
"4-Star 4x2.5mm²","Adam Hall","K4LS425","7.5","105","0.60"
"4-Star 4x4.0mm²","Adam Hall","K4LS440","4.5","100","0.55"
"Hi-Fi Star Quad","AudioQuest","Type 4","8.3","150","0.35"
"Install 14AWG","AudioQuest","SliP 14/2","8.3","90","0.65"
"Install 14AWG 4-Core","AudioQuest","SliP 14/4","8.3","90","0.65"
"Install 16AWG","AudioQuest","SliP 16/2","13.2","95","0.70"
"Commercial 12AWG","Belden","5000UE","5.12","105","0.59"
"Commercial 14AWG","Belden","5100UE","8.3","95","0.62"
"Commercial 16AWG","Belden","5200UE","13.78","90","0.66"
"Ultra High Strand 10AWG","Belden","5T00UP","3.28","110","0.52"
"Ultra High Strand 12AWG","Belden","5000UP","5.25","105","0.59"
"Ultra High Strand 12AWG 4-Core","Belden","5002UP","5.25","105","0.59"
"Ultra High Strand 14AWG","Belden","5100UP","8.53","95","0.62"
"Ultra High Strand 14AWG 4-Core","Belden","5102UP","8.53","95","0.62"
"Ultra High Strand 16AWG","Belden","5200UP","13.78","90","0.66"
"Ultra High Strand 16AWG 4-Core","Belden","5202UP","13.78","90","0.66"
"Install 2x1.3mm² (16AWG)","Canare","2S7F","15.3","60","0.70"
"Install 2x2.2mm² (14AWG)","Canare","2S9F","8.8","70","0.65"
"Install 2x3.6mm² (12AWG)","Canare","2S11F","5.5","85","0.60"
"Install Quad 1.8mm² x4","Canare","4S10F","10.7","150","0.35"
"Install Quad 2.8mm² x4","Canare","4S12F","6.9","150","0.35"
"Star Quad (Pair) 1.0mm² eq","Canare","4S6","18.7","125","0.40"
"Star Quad (Pair) 2.5mm² eq","Canare","4S8","7.5","145","0.38"
"Star Quad (Pair) 4.3mm² eq","Canare","4S11","4.5","145","0.35"
"CLS 2x1.5mm²","Cordial","CLS 215","13.3","105","0.68"
"CLS 2x2.5mm²","Cordial","CLS 225","7.98","100","0.62"
"CLS 2x4.0mm²","Cordial","CLS 240","4.95","95","0.55"
"CLS 2x6.0mm²","Cordial","CLS 260","3.3","90","0.50"
"Multicore 4x2.5mm²","Cordial","CLS 425","7.98","100","0.62"
"Multicore 4x4.0mm²","Cordial","CLS 440","4.95","95","0.55"
"Multicore 8x4.0mm²","Cordial","CLS 840","4.95","95","0.55"
"Install 14AWG","Crestron","AUD-SP-14","8.5","92","0.65"
"Install 16AWG","Crestron","AUD-SP-16","13.5","89","0.70"
"Halogen Free 1.5mm²","Draka","RFE-HF 2x1.5","12.1","100","0.68"
"Halogen Free 2.5mm²","Draka","RFE-HF 2x2.5","7.41","100","0.62"
"Halogen Free 4.0mm²","Draka","RFE-HF 2x4.0","4.61","100","0.55"
"Extra Flex 2x1.5mm²","Eurocable","LK02N15","13.3","105","0.68"
"Extra Flex 2x2.5mm²","Eurocable","LK02N25","7.98","100","0.62"
"Extra Flex 2x4.0mm²","Eurocable","LK02N40","4.95","95","0.55"
"Extra Flex 4x2.5mm²","Eurocable","LK04N25","7.98","100","0.62"
"Extra Flex 4x4.0mm²","Eurocable","LK04N40","4.95","95","0.55"
"Extra Flex 8x4.0mm²","Eurocable","LK08N40","4.95","95","0.55"
"Install 12AWG","Extron","SPK 12","5.25","110","0.60"
"Install 14AWG","Extron","SPK 14","8.2","105","0.65"
"Install 16AWG","Extron","SPK 16","13.12","100","0.70"
"Pro 1.5mm²","Gotham","GAC-SPK 2x1.5","12.8","140","0.65"
"Pro 2.5mm²","Gotham","GAC-SPK 2x2.5","7.3","140","0.60"
"Pro 4.0mm²","Gotham","GAC-SPK 2x4.0","4.95","140","0.55"
"Pro 4x2.5mm²","Gotham","GAC-SPK 4x2.5","7.3","140","0.60"
"Multicore 4x2.5mm²","Klotz","LSC425","7.0","115","0.60"
"Multicore 4x4.0mm²","Klotz","LSC440","4.5","110","0.55"
"Multicore 8x2.5mm²","Klotz","LSC825","7.0","115","0.60"
"Multicore 8x4.0mm²","Klotz","LSC840","4.5","110","0.55"
"Touring 2x2.5mm²","Klotz","LSC225","7.0","115","0.60"
"Touring 2x4.0mm²","Klotz","LSC240","4.5","110","0.55"
"Twinaxial 2x1.5mm²","Klotz","LY215","12.5","105","0.68"
"Twinaxial 2x10.0mm²","Klotz","LY2100","1.8","95","0.40"
"Twinaxial 2x2.5mm²","Klotz","LY225","7.0","100","0.62"
"Twinaxial 2x4.0mm²","Klotz","LY240","4.5","95","0.55"
"Control/Power 1.5mm²","LAPP","ÖLFLEX 110 2x1.5","13.3","140","0.70"
"Control/Power 2.5mm²","LAPP","ÖLFLEX 110 2x2.5","7.98","140","0.65"
"Control/Power 4x2.5mm²","LAPP","ÖLFLEX 110 4G2.5","7.98","140","0.65"
"Control/Power 4x4.0mm²","LAPP","ÖLFLEX 110 4G4.0","4.95","140","0.55"
"Data/Signal 0.75mm²","LAPP","UNITRONIC LiYCY","26.0","120","0.80"
"Commercial 10AWG","Liberty","10-2C","3.28","115","0.52"
"Commercial 12AWG","Liberty","12-2C","5.22","105","0.59"
"Commercial 14AWG","Liberty","14-2C","8.3","95","0.62"
"Commercial 14AWG 4-Core","Liberty","14-4C","8.3","95","0.62"
"Commercial 16AWG","Liberty","16-2C","13.19","90","0.66"
"Commercial 16AWG 4-Core","Liberty","16-4C","13.19","90","0.66"
"Coax Studio 2.0mm²","Mogami","W3082","8.8","253","0.40"
"Studio 2x2.0mm²","Mogami","W2972","8.8","130","0.40"
"Studio 2x4.0mm²","Mogami","W3103","5.0","130","0.40"
"Studio 4x4.0mm²","Mogami","W3104","5.0","130","0.40"
"Highflex 2x2.5mm²","Procab","RZ25","7.98","105","0.62"
"Highflex 2x4.0mm²","Procab","RZ40","4.95","100","0.55"
"Install Fire 2x1.5mm²","Procab","CLS215-Cca","13.3","105","0.68"
"Install Fire 2x2.5mm²","Procab","CLS225-Cca","8.0","100","0.62"
"Install Fire 2x4.0mm²","Procab","CLS240-Cca","4.95","95","0.55"
"Install Fire 4x2.5mm²","Procab","CLS425-Cca","8.0","100","0.62"
"Install Fire 4x4.0mm²","Procab","CLS440-Cca","4.95","95","0.55"
"LS Series 2x1.5mm²","Procab","LS15","13.3","105","0.68"
"LS Series 2x2.5mm²","Procab","LS25","7.98","100","0.62"
"LS Series 2x4.0mm²","Procab","LS40","4.95","95","0.55"
"Direct Burial 14AWG","SCP","14/2-DB","8.3","95","0.65"
"Low Smoke 14AWG","SCP","14/2-LSZH","8.3","95","0.65"
"Low Smoke 16AWG","SCP","16/2-LSZH","13.2","90","0.70"
"Pro Grade 12AWG","SCP","12/2-OFC","5.2","105","0.60"
"Pro Grade 14AWG","SCP","14/2-OFC","8.3","95","0.65"
"Pro Grade 14AWG 4-Core","SCP","14/4-OFC","8.3","95","0.65"
"Pro Grade 16AWG","SCP","16/2-OFC","13.2","90","0.70"
"Pro Grade 16AWG 4-Core","SCP","16/4-OFC","13.2","90","0.70"
"Coax Install 2x2.5mm²","Sommer","SC-Magellan 225","7.8","130","0.35"
"Coax Install 2x4.0mm²","Sommer","SC-Magellan 240","4.9","130","0.35"
"Elephant 4x2.5mm²","Sommer","SPM425","7.7","110","0.60"
"Elephant 4x4.0mm²","Sommer","SPM440","4.5","105","0.55"
"Elephant 8x4.0mm²","Sommer","SPM840","4.5","105","0.55"
"Meridian 2x1.5mm²","Sommer","SP215","13.0","105","0.68"
"Meridian 2x2.5mm²","Sommer","SP225","7.5","100","0.62"
"Meridian 2x4.0mm²","Sommer","SP240","4.5","95","0.55"
"Meridian 2x6.0mm²","Sommer","SP260","3.3","90","0.50"
"Bi-Wire 4x2.5mm²","Supra","Rondo 4x2.5","6.8","110","0.40"
"Low Inductance 3.4mm²","Supra","Ply 3.4","5.1","100","0.20"
"Tin Plated 1.6mm²","Supra","Classic 1.6","10.8","85","0.55"
"Tin Plated 2.5mm²","Supra","Classic 2.5","6.8","85","0.50"
"Tin Plated 4.0mm²","Supra","Classic 4.0","4.3","80","0.45"
"Tin Plated 6.0mm²","Supra","Classic 6.0","2.9","80","0.40"
"Flexible 2x1.5mm²","Tasker","C275","12.5","115","0.65"
"Flexible 2x2.5mm²","Tasker","C276","6.4","110","0.60"
"Flexible 2x4.0mm²","Tasker","C277","4.3","105","0.55"
"Flexible 2x6.0mm²","Tasker","C279","2.8","100","0.50"
"Flexible 4x2.5mm²","Tasker","C288","6.4","110","0.60"
"Rubber 1.5mm²","Titanex","H07RN-F 3G1.5","13.3","130","0.75"
"Rubber 2.5mm²","Titanex","H07RN-F 3G2.5","7.98","125","0.70"
"Rubber 4x2.5mm²","Titanex","H07RN-F 5G2.5","7.98","125","0.70"
"Rubber 4x4.0mm²","Titanex","H07RN-F 5G4.0","4.95","120","0.65"
"Black Tour 4x2.5mm²","Van Damme","268-542-000","7.65","105","0.62"
"Black Tour 4x4.0mm²","Van Damme","268-544-000","4.6","100","0.55"
"Black Tour 8x2.5mm²","Van Damme","268-582-000","7.65","105","0.62"
"Blue 2x0.75mm²","Van Damme","268-575-060","24.5","130","0.80"
"Blue 2x1.5mm²","Van Damme","268-515-060","12.3","120","0.70"
"Blue 2x2.5mm²","Van Damme","268-525-060","7.3","115","0.65"
"Blue 2x4.0mm²","Van Damme","268-545-060","4.6","105","0.55"
"Blue 2x6.0mm²","Van Damme","268-565-060","3.2","100","0.50"
"Purple LSZH 2x0.75mm²","Van Damme","278-575-080","25.0","130","0.80"
"Purple LSZH 2x1.5mm²","Van Damme","278-515-080","12.5","120","0.70"
"Purple LSZH 2x2.5mm²","Van Damme","278-525-080","7.5","115","0.65"
"Install 12AWG","West Penn","227","5.25","105","0.60"
"Install 14AWG","West Penn","226","8.43","95","0.65"
"Install 16AWG","West Penn","225","13.45","90","0.70"
"Install 16AWG 4-Core","West Penn","245","13.45","90","0.70"
"Install 18AWG","West Penn","224","20.73","85","0.75"
"Install 18AWG 4-Core","West Penn","244","20.73","85","0.75"